구분,그룹,고민유형,비율
학력별,고졸 이하,이성 및 우정 문제,1.4
학력별,대졸 이하,이성 및 우정 문제,4.4
학력별,대학원 이상,이성 및 우정 문제,1.3
소득별,100 만원 미만,이성 및 우정 문제,0.9
소득별,100-200만 미만,이성 및 우정 문제,1.6
소득별,200-300만 미만,이성 및 우정 문제,2.5
소득별,300-400만 미만,이성 및 우정 문제,2.3
소득별,400-500만 미만,이성 및 우정 문제,2.8
소득별,500만 이상,이성 및 우정 문제,3.9
혼인상태별,기혼,이성 및 우정 문제,0.4
혼인상태별,미혼,이성 및 우정 문제,8.8
혼인상태별,이혼/별거,이성 및 우정 문제,0.7
혼인상태별,사별,이성 및 우정 문제,0.3
지역대분류,도심권,이성 및 우정 문제,3.1
지역대분류,동북권,이성 및 우정 문제,2.3
지역대분류,서북권,이성 및 우정 문제,2.1
지역대분류,서남권,이성 및 우정 문제,2.7
지역대분류,동남권,이성 및 우정 문제,3.7
지역소분류,종로구,이성 및 우정 문제,1.4
지역소분류,중구,이성 및 우정 문제,1.7
지역소분류,용산구,이성 및 우정 문제,5.0
지역소분류,성동구,이성 및 우정 문제,3.3
지역소분류,광진구,이성 및 우정 문제,2.4
지역소분류,동대문구,이성 및 우정 문제,2.2
지역소분류,중랑구,이성 및 우정 문제,4.4
지역소분류,성북구,이성 및 우정 문제,1.9
지역소분류,강북구,이성 및 우정 문제,1.6
지역소분류,도봉구,이성 및 우정 문제,0.8
지역소분류,노원구,이성 및 우정 문제,1.8
지역소분류,은평구,이성 및 우정 문제,2.8
지역소분류,서대문구,이성 및 우정 문제,2.6
지역소분류,마포구,이성 및 우정 문제,0.7
지역소분류,양천구,이성 및 우정 문제,1.7
지역소분류,강서구,이성 및 우정 문제,1.9
지역소분류,구로구,이성 및 우정 문제,3.3
지역소분류,금천구,이성 및 우정 문제,4.9
지역소분류,영등포구,이성 및 우정 문제,3.6
지역소분류,동작구,이성 및 우정 문제,1.9
지역소분류,관악구,이성 및 우정 문제,2.6
지역소분류,서초구,이성 및 우정 문제,4.2
지역소분류,강남구,이성 및 우정 문제,2.6
지역소분류,송파구,이성 및 우정 문제,3.7
지역소분류,강동구,이성 및 우정 문제,4.4
서울시,소계,신체 외모,2.2
성별,남자,신체 외모,1.8
성별,여자,신체 외모,2.7
연령별,10대,신체 외모,5.2
연령별,20대,신체 외모,5.2
연령별,30대,신체 외모,1.8
연령별,40대,신체 외모,1.4
연령별,50대,신체 외모,1.1
연령별,60대 이상,신체 외모,1.0
학력별,중졸 이하,신체 외모,1.3
학력별,고졸 이하,신체 외모,1.9
학력별,대졸 이하,신체 외모,2.8
학력별,대학원 이상,신체 외모,0.7
소득별,100 만원 미만,신체 외모,2.1
소득별,100-200만 미만,신체 외모,2.1
소득별,200-300만 미만,신체 외모,1.7
소득별,300-400만 미만,신체 외모,2.1
소득별,400-500만 미만,신체 외모,2.4
소득별,500만 이상,신체 외모,2.7
혼인상태별,기혼,신체 외모,1.4
혼인상태별,미혼,신체 외모,4.7
혼인상태별,이혼/별거,신체 외모,0.7
혼인상태별,사별,신체 외모,0.5
지역대분류,도심권,신체 외모,2.3
지역대분류,동북권,신체 외모,2.7
지역대분류,서북권,신체 외모,1.9
지역대분류,서남권,신체 외모,1.5
지역대분류,동남권,신체 외모,2.7
지역소분류,종로구,신체 외모,2.6
지역소분류,중구,신체 외모,2.0
